"YEAR","JURISDICTION","LOCATION","AGE_GROUP","DETECTION_TYPE","Sum(FINES)"
2023,"VIC","Major Cities of Australia","17-25","Police Issued",11668
2023,"VIC","Major Cities of Australia","26-39","Camera Issued",222622
2023,"VIC","Major Cities of Australia","26-39","Police Issued",21209
2023,"VIC","Major Cities of Australia","40-64","Camera Issued",366109
2023,"VIC","Major Cities of Australia","40-64","Police Issued",23577
2023,"VIC","Major Cities of Australia","65 and over","Camera Issued",106396
2023,"VIC","Major Cities of Australia","65 and over","Police Issued",4344
2023,"VIC","Major Cities of Australia","Unknown","Camera Issued",214006
2023,"VIC","Major Cities of Australia","Unknown","Police Issued",31
2023,"VIC","Outer Regional Australia","0-16","Police Issued",2
2023,"VIC","Outer Regional Australia","17-25","Camera Issued",1068
2023,"VIC","Outer Regional Australia","17-25","Police Issued",1751
2023,"VIC","Outer Regional Australia","26-39","Camera Issued",3967
2023,"VIC","Outer Regional Australia","26-39","Police Issued",3717
2023,"VIC","Outer Regional Australia","40-64","Camera Issued",6821
2023,"VIC","Outer Regional Australia","40-64","Police Issued",4362
2023,"VIC","Outer Regional Australia","65 and over","Camera Issued",3200
2023,"VIC","Outer Regional Australia","65 and over","Police Issued",1053
2023,"VIC","Outer Regional Australia","Unknown","Camera Issued",4042
2023,"VIC","Outer Regional Australia","Unknown","Police Issued",7
2023,"VIC","Remote Australia","17-25","Camera Issued",3
2023,"VIC","Remote Australia","17-25","Police Issued",38
2023,"VIC","Remote Australia","26-39","Camera Issued",3
2023,"VIC","Remote Australia","26-39","Police Issued",97
2023,"VIC","Remote Australia","40-64","Camera Issued",5
2023,"VIC","Remote Australia","40-64","Police Issued",148
2023,"VIC","Remote Australia","65 and over","Camera Issued",1
2023,"VIC","Remote Australia","65 and over","Police Issued",72
2023,"VIC","Remote Australia","Unknown","Camera Issued",2
2023,"VIC","Unknown","17-25","Camera Issued",1449
2023,"VIC","Unknown","17-25","Police Issued",254
2023,"VIC","Unknown","26-39","Camera Issued",4892
2023,"VIC","Unknown","26-39","Police Issued",531
2023,"VIC","Unknown","40-64","Camera Issued",7521
2023,"VIC","Unknown","40-64","Police Issued",606
2023,"VIC","Unknown","65 and over","Camera Issued",2573
2023,"VIC","Unknown","65 and over","Police Issued",153
2023,"VIC","Unknown","Unknown","Camera Issued",4001
2023,"VIC","Unknown","Unknown","Police Issued",2
2023,"WA","Unknown","0-16","Camera Issued",31
2023,"WA","Unknown","0-16","Other",0
2023,"WA","Unknown","0-16","Police Issued",3
2023,"WA","Unknown","17-25","Camera Issued",86755
2023,"WA","Unknown","17-25","Other",0
2023,"WA","Unknown","17-25","Police Issued",9154
2023,"WA","Unknown","26-39","Camera Issued",228619
2023,"WA","Unknown","26-39","Other",0
2023,"WA","Unknown","26-39","Police Issued",17462
2023,"WA","Unknown","40-64","Camera Issued",353126
2023,"WA","Unknown","40-64","Other",0
2023,"WA","Unknown","40-64","Police Issued",20366
2023,"WA","Unknown","65 and over","Camera Issued",87658
2023,"WA","Unknown","65 and over","Other",0
2023,"WA","Unknown","65 and over","Police Issued",3941
2023,"WA","Unknown","Unknown","Camera Issued",368
2023,"WA","Unknown","Unknown","Police Issued",4
2024,"ACT","Major Cities of Australia","0-16","Camera Issued",19
2024,"ACT","Major Cities of Australia","0-16","Police Issued",24
2024,"ACT","Major Cities of Australia","17-25","Camera Issued",8415
2024,"ACT","Major Cities of Australia","17-25","Police Issued",776
2024,"ACT","Major Cities of Australia","26-39","Camera Issued",18694
2024,"ACT","Major Cities of Australia","26-39","Police Issued",1052
2024,"ACT","Major Cities of Australia","40-64","Camera Issued",28638
2024,"ACT","Major Cities of Australia","40-64","Police Issued",840
2024,"ACT","Major Cities of Australia","65 and over","Camera Issued",8883
2024,"ACT","Major Cities of Australia","65 and over","Police Issued",88
2024,"ACT","Major Cities of Australia","Unknown","Camera Issued",1416
2024,"ACT","Major Cities of Australia","Unknown","Police Issued",1
2024,"NSW","Inner Regional Australia","0-16","Police Issued",69
2024,"NSW","Inner Regional Australia","17-25","Police Issued",17978
2024,"NSW","Inner Regional Australia","26-39","Police Issued",27145
2024,"NSW","Inner Regional Australia","40-64","Police Issued",28798
2024,"NSW","Inner Regional Australia","65 and over","Police Issued",6813
2024,"NSW","Major Cities of Australia","0-16","Police Issued",71
2024,"NSW","Major Cities of Australia","17-25","Police Issued",24295
2024,"NSW","Major Cities of Australia","26-39","Police Issued",26273
2024,"NSW","Major Cities of Australia","40-64","Police Issued",23249
2024,"NSW","Major Cities of Australia","65 and over","Police Issued",3416
2024,"NSW","Outer Regional Australia","0-16","Police Issued",17
2024,"NSW","Outer Regional Australia","17-25","Police Issued",4555
2024,"NSW","Outer Regional Australia","26-39","Police Issued",7498
2024,"NSW","Outer Regional Australia","40-64","Police Issued",8788
2024,"NSW","Outer Regional Australia","65 and over","Police Issued",2368
2024,"NSW","Remote Australia","0-16","Police Issued",3
2024,"NSW","Remote Australia","17-25","Police Issued",393
2024,"NSW","Remote Australia","26-39","Police Issued",631
2024,"NSW","Remote Australia","40-64","Police Issued",781
2024,"NSW","Remote Australia","65 and over","Police Issued",229
2024,"NSW","Unknown","0-16","Police Issued",4
2024,"NSW","Unknown","17-25","Police Issued",873
2024,"NSW","Unknown","26-39","Police Issued",1101
2024,"NSW","Unknown","40-64","Police Issued",1104
2024,"NSW","Unknown","65 and over","Police Issued",223
2024,"NSW","Unknown","Unknown","Camera Issued",718805
2024,"NSW","Unknown","Unknown","Other",1
2024,"NSW","Very Remote Australia","17-25","Police Issued",31
2024,"NSW","Very Remote Australia","26-39","Police Issued",59
2024,"NSW","Very Remote Australia","40-64","Police Issued",79
2024,"NSW","Very Remote Australia","65 and over","Police Issued",22
2024,"NT","Unknown","0-16","Camera Issued",42
2024,"NT","Unknown","0-16","Other",0
2024,"NT","Unknown","0-16","Police Issued",17
2024,"NT","Unknown","17-25","Camera Issued",5285
2024,"NT","Unknown","17-25","Other",0
2024,"NT","Unknown","17-25","Police Issued",757
2024,"NT","Unknown","26-39","Camera Issued",14560
2024,"NT","Unknown","26-39","Other",0
2024,"NT","Unknown","26-39","Police Issued",1344
2024,"NT","Unknown","40-64","Camera Issued",18613
2024,"NT","Unknown","40-64","Other",0
2024,"NT","Unknown","40-64","Police Issued",1410
2024,"NT","Unknown","65 and over","Camera Issued",4122
2024,"NT","Unknown","65 and over","Other",0
2024,"NT","Unknown","65 and over","Police Issued",228
2024,"NT","Unknown","Unknown","Camera Issued",1677
2024,"QLD","Unknown","0-16","Camera Issued",18099
2024,"QLD","Unknown","0-16","Police Issued",48
2024,"QLD","Unknown","17-25","Camera Issued",95881
2024,"QLD","Unknown","17-25","Police Issued",25748
2024,"QLD","Unknown","26-39","Camera Issued",200668
2024,"QLD","Unknown","26-39","Police Issued",36797
2024,"QLD","Unknown","40-64","Camera Issued",289037
2024,"QLD","Unknown","40-64","Police Issued",41397
2024,"QLD","Unknown","65 and over","Camera Issued",76770
2024,"QLD","Unknown","65 and over","Police Issued",8198
2024,"QLD","Unknown","Unknown","Camera Issued",2230
2024,"QLD","Unknown","Unknown","Police Issued",10
2024,"SA","Inner Regional Australia","0-16","Police Issued",5
2024,"SA","Inner Regional Australia","17-25","Camera Issued",1806
2024,"SA","Inner Regional Australia","17-25","Police Issued",2441
2024,"SA","Inner Regional Australia","26-39","Camera Issued",5159
2024,"SA","Inner Regional Australia","26-39","Police Issued",4529
2024,"SA","Inner Regional Australia","40-64","Camera Issued",9027
2024,"SA","Inner Regional Australia","40-64","Police Issued",6018
2024,"SA","Inner Regional Australia","65 and over","Camera Issued",4098
2024,"SA","Inner Regional Australia","65 and over","Police Issued",1886
2024,"SA","Inner Regional Australia","Unknown","Camera Issued",584
2024,"SA","Inner Regional Australia","Unknown","Police Issued",35
2024,"SA","Major Cities of Australia","0-16","Camera Issued",16
2024,"SA","Major Cities of Australia","0-16","Police Issued",3
2024,"SA","Major Cities of Australia","17-25","Camera Issued",10731
2024,"SA","Major Cities of Australia","17-25","Police Issued",3756
2024,"SA","Major Cities of Australia","26-39","Camera Issued",26308
2024,"SA","Major Cities of Australia","26-39","Police Issued",5915
2024,"SA","Major Cities of Australia","40-64","Camera Issued",46182
2024,"SA","Major Cities of Australia","40-64","Police Issued",6539
2024,"SA","Major Cities of Australia","65 and over","Camera Issued",15916
2024,"SA","Major Cities of Australia","65 and over","Police Issued",1587
2024,"SA","Major Cities of Australia","Unknown","Camera Issued",3082
2024,"SA","Major Cities of Australia","Unknown","Police Issued",35
2024,"SA","Outer Regional Australia","0-16","Camera Issued",1
2024,"SA","Outer Regional Australia","0-16","Police Issued",10
2024,"SA","Outer Regional Australia","17-25","Camera Issued",652
2024,"SA","Outer Regional Australia","17-25","Police Issued",2382
2024,"SA","Outer Regional Australia","26-39","Camera Issued",1640
2024,"SA","Outer Regional Australia","26-39","Police Issued",4787
2024,"SA","Outer Regional Australia","40-64","Camera Issued",2924
2024,"SA","Outer Regional Australia","40-64","Other",1
2024,"SA","Outer Regional Australia","40-64","Police Issued",6238
2024,"SA","Outer Regional Australia","65 and over","Camera Issued",1304
2024,"SA","Outer Regional Australia","65 and over","Police Issued",1859
2024,"SA","Outer Regional Australia","Unknown","Camera Issued",157
2024,"SA","Outer Regional Australia","Unknown","Police Issued",14
2024,"SA","Remote Australia","0-16","Police Issued",2
2024,"SA","Remote Australia","17-25","Camera Issued",36
2024,"SA","Remote Australia","17-25","Police Issued",474
2024,"SA","Remote Australia","26-39","Camera Issued",157
2024,"SA","Remote Australia","26-39","Police Issued",971
2024,"SA","Remote Australia","40-64","Camera Issued",271
2024,"SA","Remote Australia","40-64","Police Issued",1172
2024,"SA","Remote Australia","65 and over","Camera Issued",103
2024,"SA","Remote Australia","65 and over","Police Issued",304
2024,"SA","Remote Australia","Unknown","Camera Issued",14
2024,"SA","Remote Australia","Unknown","Police Issued",1
2024,"SA","Unknown","17-25","Camera Issued",6
2024,"SA","Unknown","17-25","Police Issued",264
2024,"SA","Unknown","26-39","Camera Issued",8
2024,"SA","Unknown","26-39","Police Issued",472
2024,"SA","Unknown","40-64","Camera Issued",28
2024,"SA","Unknown","40-64","Police Issued",597
2024,"SA","Unknown","65 and over","Camera Issued",13
2024,"SA","Unknown","65 and over","Police Issued",193
2024,"SA","Unknown","Unknown","Police Issued",1
2024,"SA","Very Remote Australia","0-16","Police Issued",0
2024,"SA","Very Remote Australia","17-25","Police Issued",282
2024,"SA","Very Remote Australia","26-39","Police Issued",642
2024,"SA","Very Remote Australia","40-64","Camera Issued",1
2024,"SA","Very Remote Australia","40-64","Police Issued",761
2024,"SA","Very Remote Australia","65 and over","Police Issued",178
2024,"SA","Very Remote Australia","Unknown","Camera Issued",2
2024,"SA","Very Remote Australia","Unknown","Police Issued",1
2024,"TAS","Unknown","0-16","Camera Issued",8
2024,"TAS","Unknown","0-16","Police Issued",0
2024,"TAS","Unknown","17-25","Camera Issued",6176
2024,"TAS","Unknown","17-25","Police Issued",4221
2024,"TAS","Unknown","26-39","Camera Issued",16225
2024,"TAS","Unknown","26-39","Police Issued",6390
2024,"TAS","Unknown","40-64","Camera Issued",23272
2024,"TAS","Unknown","40-64","Police Issued",7212
2024,"TAS","Unknown","65 and over","Camera Issued",9211
2024,"TAS","Unknown","65 and over","Police Issued",2257
2024,"TAS","Unknown","Unknown","Camera Issued",19
2024,"TAS","Unknown","Unknown","Police Issued",2
2024,"VIC","Inner Regional Australia","0-16","Camera Issued",2
2024,"VIC","Inner Regional Australia","17-25","Camera Issued",5870
2024,"VIC","Inner Regional Australia","26-39","Camera Issued",18935
2024,"VIC","Inner Regional Australia","40-64","Camera Issued",31619
2024,"VIC","Inner Regional Australia","65 and over","Camera Issued",14426
2024,"VIC","Inner Regional Australia","Unknown","Camera Issued",1202
2024,"VIC","Major Cities of Australia","0-16","Camera Issued",0
2024,"VIC","Major Cities of Australia","17-25","Camera Issued",45407
2024,"VIC","Major Cities of Australia","26-39","Camera Issued",158080
2024,"VIC","Major Cities of Australia","40-64","Camera Issued",258537
2024,"VIC","Major Cities of Australia","65 and over","Camera Issued",76684
2024,"VIC","Major Cities of Australia","Unknown","Camera Issued",12511
2024,"VIC","Outer Regional Australia","0-16","Camera Issued",0
2024,"VIC","Outer Regional Australia","17-25","Camera Issued",913
2024,"VIC","Outer Regional Australia","26-39","Camera Issued",3018
2024,"VIC","Outer Regional Australia","40-64","Camera Issued",4949
2024,"VIC","Outer Regional Australia","65 and over","Camera Issued",2365
2024,"VIC","Outer Regional Australia","Unknown","Camera Issued",301
2024,"VIC","Remote Australia","0-16","Camera Issued",0
2024,"VIC","Remote Australia","17-25","Camera Issued",0
2024,"VIC","Remote Australia","26-39","Camera Issued",3
2024,"VIC","Remote Australia","40-64","Camera Issued",4
2024,"VIC","Remote Australia","65 and over","Camera Issued",1
2024,"VIC","Remote Australia","Unknown","Camera Issued",0
2024,"VIC","Unknown","0-16","Camera Issued",1
2024,"VIC","Unknown","0-16","Police Issued",28
2024,"VIC","Unknown","17-25","Camera Issued",4472
2024,"VIC","Unknown","17-25","Police Issued",19437
2024,"VIC","Unknown","26-39","Camera Issued",10187
2024,"VIC","Unknown","26-39","Police Issued",36084
2024,"VIC","Unknown","40-64","Camera Issued",12816
2024,"VIC","Unknown","40-64","Police Issued",42361
2024,"VIC","Unknown","65 and over","Camera Issued",2721
2024,"VIC","Unknown","65 and over","Police Issued",9710
2024,"VIC","Unknown","Unknown","Camera Issued",783
2024,"VIC","Unknown","Unknown","Police Issued",43
2024,"WA","Unknown","0-16","Camera Issued",1148
2024,"WA","Unknown","0-16","Other",0
2024,"WA","Unknown","0-16","Police Issued",5
2024,"WA","Unknown","17-25","Camera Issued",47584
2024,"WA","Unknown","17-25","Other",0
2024,"WA","Unknown","17-25","Police Issued",10008
2024,"WA","Unknown","26-39","Camera Issued",125384
2024,"WA","Unknown","26-39","Other",0
2024,"WA","Unknown","26-39","Police Issued",19212
2024,"WA","Unknown","40-64","Camera Issued",192507
2024,"WA","Unknown","40-64","Other",0
2024,"WA","Unknown","40-64","Police Issued",22768
2024,"WA","Unknown","65 and over","Camera Issued",49823
2024,"WA","Unknown","65 and over","Other",0
2024,"WA","Unknown","65 and over","Police Issued",4394
